;date;average_price;total_volume;gala;fuji;granny_smith;total_bags;s_bags;l_bags;xl_bags;type;region
6;15/11/2015;1.04;71833048;4710975;50347008;3799029;12976036;12529767;446269;0;conventional;BaltimoreWashington
7;08/11/2015;1.05;83096723;5857927;57651271;5103504;14484021;13877763;606258;0;conventional;BaltimoreWashington
8;01/11/2015;1.12;74222067;5186007;47381914;5861576;15792570;15271640;520930;0;conventional;BaltimoreWashington
9;25/10/2015;1.19;65689203;5376625;39791135;4908574;15612869;14998755;614114;0;conventional;BaltimoreWashington
10;18/10/2015;0.99;100560378;5912155;74538526;4917133;15192564;14642102;550462;0;conventional;BaltimoreWashington
11;11/10/2015;1.24;65356014;3470702;39200860;5849010;16835442;16366901;468541;0;conventional;BaltimoreWashington
12;04/10/2015;1.28;65744404;3534234;40760995;4225773;17223402;16749461;473941;0;conventional;BaltimoreWashington
13;27/09/2015;1.19;69628181;3430905;45106103;5901861;15189312;14679281;510031;0;conventional;BaltimoreWashington
14;20/09/2015;1.17;70926862;3961987;45028301;4533612;17402962;16888978;513984;0;conventional;BaltimoreWashington
15;13/09/2015;1.09;92499361;5569925;67552433;4227047;15149956;14568602;581354;0;conventional;BaltimoreWashington
16;06/09/2015;1.18;82362336;6390373;52256844;6818035;16897084;16569658;326872;554;conventional;BaltimoreWashington
17;30/08/2015;1.24;73472129;4845525;45820746;4275434;18530424;18196879;315890;17655;conventional;BaltimoreWashington
18;23/08/2015;1.16;78393536;5924202;49910039;4721618;17837677;17504715;306044;26918;conventional;BaltimoreWashington
19;16/08/2015;1.14;88275472;8649203;59718473;4310261;15597535;15315663;279682;2190;conventional;BaltimoreWashington
20;09/08/2015;1.16;82152345;5636275;55736394;4293387;16486289;16156481;329808;0;conventional;BaltimoreWashington
21;02/08/2015;1.17;80060323;5395763;53516710;4474958;16672892;16366768;306124;0;conventional;BaltimoreWashington
22;26/07/2015;1.2;77292612;5274641;49650865;4501081;17866025;17477480;388004;541;conventional;BaltimoreWashington
23;19/07/2015;1.18;80019434;5295494;49620647;5031984;20071309;19683760;386202;1347;conventional;BaltimoreWashington
24;12/07/2015;1.1;85093158;5882799;54753741;5067901;19388717;18923632;440605;24480;conventional;BaltimoreWashington
25;05/07/2015;1.16;89629877;6650467;56764070;5604451;20610889;20009799;589057;12033;conventional;BaltimoreWashington
26;28/06/2015;1.15;86226164;6505195;53453521;5110985;21156463;20737809;402251;16403;conventional;BaltimoreWashington
27;21/06/2015;1.16;86284073;5839876;52786650;5195274;22462273;22090435;348837;23001;conventional;BaltimoreWashington
28;14/06/2015;1.09;95504682;6400515;59349963;4834486;24919718;24498226;366830;54662;conventional;BaltimoreWashington
29;07/06/2015;1.26;79431029;6258545;46295105;4372095;22505284;22116585;362641;26058;conventional;BaltimoreWashington
30;31/05/2015;1.19;94917706;6774484;61781387;4583280;21778555;21178729;573022;26804;conventional;BaltimoreWashington
31;24/05/2015;1.18;90866183;6361012;56074003;4980851;23450317;22884295;554894;11128;conventional;BaltimoreWashington
32;17/05/2015;1.27;79085386;6351506;45516665;4484098;22733117;22216310;515219;1588;conventional;BaltimoreWashington
33;10/05/2015;1.26;85520582;7919207;50710415;4439054;22451906;21557203;894703;0;conventional;BaltimoreWashington
34;03/05/2015;1.17;89697205;7303846;53670999;7753743;20968617;20187428;776745;4444;conventional;BaltimoreWashington
35;26/04/2015;1.29;74784109;5801385;43153287;3994257;21835180;21206473;618429;10278;conventional;BaltimoreWashington
36;19/04/2015;1.28;76286262;6748678;42762327;4212528;22562729;21988588;574141;0;conventional;BaltimoreWashington
37;12/04/2015;1.15;83762962;7079672;52317013;4227076;20139201;19607634;531567;0;conventional;BaltimoreWashington
38;05/04/2015;1.29;68806545;5357917;40127947;4186708;19133973;18410906;635706;87361;conventional;BaltimoreWashington
39;29/03/2015;1.25;66367732;5809815;39805087;4375968;16376862;15896408;480454;0;conventional;BaltimoreWashington
40;22/03/2015;1.1;80889721;6515896;52497124;4238139;17638562;17169995;468567;0;conventional;BaltimoreWashington
41;15/03/2015;1.24;69369813;5340014;39583701;4659622;19786476;19313090;473386;0;conventional;BaltimoreWashington
42;08/03/2015;1.26;65774590;5528480;36767093;4226791;19252226;18837449;414777;0;conventional;BaltimoreWashington
43;01/03/2015;1.16;77011524;5903985;49887267;4024165;17196107;16822420;373687;0;conventional;BaltimoreWashington
44;22/02/2015;1.11;74984579;5050107;44597056;6261161;19076255;18697697;378558;0;conventional;BaltimoreWashington
45;15/02/2015;1.25;63731934;4975174;36167737;4590005;17999018;17486487;512531;0;conventional;BaltimoreWashington
46;08/02/2015;1.09;84493121;7170352;55485741;3743732;18093296;17577139;516157;0;conventional;BaltimoreWashington
47;01/02/2015;1.06;100741876;9316654;66601038;8365248;16458936;15991687;467249;0;conventional;BaltimoreWashington
48;25/01/2015;1.2;69293446;4969614;38639873;3948895;21735064;20976181;758883;0;conventional;BaltimoreWashington
49;18/01/2015;1.23;65774134;4994716;39335960;4057608;17385850;16939088;446762;0;conventional;BaltimoreWashington
50;11/01/2015;1.17;67023194;5146064;42083782;4252696;15540652;15133087;407565;0;conventional;BaltimoreWashington
51;04/01/2015;1.08;78802506;5398731;55290604;3999503;14113668;13714607;399061;0;conventional;BaltimoreWashington
0;27/12/2015;0.97;6290969;3048225;297194;589440;2356110;2352019;569;3522;conventional;Boise
1;20/12/2015;1.03;5750405;2562822;254609;739384;2193590;2190035;1143;2412;conventional;Boise
2;13/12/2015;0.99;5846105;2714861;298573;645844;2186827;2184287;444;2096;conventional;Boise
3;06/12/2015;0.71;9529534;3559098;1252650;408626;4309160;4273453;0;35707;conventional;Boise
4;29/11/2015;1.06;4906913;2418998;278967;603149;1605799;1586063;0;19736;conventional;Boise
5;22/11/2015;1.09;5287558;2540886;325597;666280;1754795;1753067;432;1296;conventional;Boise
6;15/11/2015;1.01;6864822;2442472;1208572;650237;2563541;2520025;865;42651;conventional;Boise
7;08/11/2015;1.11;5584779;3191027;465188;628573;1299991;1277783;11979;10229;conventional;Boise
8;01/11/2015;1.14;5358551;3043499;435952;642827;1236273;1233182;0;3091;conventional;Boise
9;25/10/2015;1.11;5987445;2952158;1008982;655157;1371148;1366098;0;5050;conventional;Boise
10;18/10/2015;1.16;5419114;2961423;906938;658627;892126;891800;0;326;conventional;Boise
11;11/10/2015;0.94;8090419;2611419;3341588;760448;1376964;1354347;18546;4071;conventional;Boise
12;04/10/2015;1.12;5949633;3515443;1082185;755163;596842;546215;50465;162;conventional;Boise
13;27/09/2015;0.99;6418780;4700735;575404;366330;776311;759664;16000;647;conventional;Boise
14;20/09/2015;1.03;7395290;3482690;2159213;664007;1089380;1060102;27341;1937;conventional;Boise
15;13/09/2015;1.08;6420884;4573883;439390;659346;748265;748265;0;0;conventional;Boise
16;06/09/2015;1.16;6446461;4413465;540217;799175;693604;693443;0;161;conventional;Boise
17;30/08/2015;1.19;6009983;4092677;580992;792258;544056;544056;0;0;conventional;Boise
18;23/08/2015;1.05;7077376;4405922;1486133;443312;742009;742009;0;0;conventional;Boise
19;16/08/2015;1.12;6400161;4618928;525821;645721;609691;609051;0;640;conventional;Boise
20;09/08/2015;1.1;6128698;4473954;503400;393119;758225;756892;1333;0;conventional;Boise
21;02/08/2015;1.07;6776391;5115127;514089;543536;603639;598750;4889;0;conventional;Boise
22;26/07/2015;1.07;6782607;5097838;485627;547957;651185;635804;15381;0;conventional;Boise
23;19/07/2015;1.09;6395804;4592160;530030;556517;717097;635445;81652;0;conventional;Boise
24;12/07/2015;1.05;7467772;5182875;580265;747440;957192;833504;123688;0;conventional;Boise
25;05/07/2015;1.15;8504445;6194973;802213;843498;663761;655706;8055;0;conventional;Boise
26;28/06/2015;1.04;7528041;5911133;657326;397475;562107;561944;0;163;conventional;Boise
27;21/06/2015;1.06;8139707;5279021;1544474;587585;728627;702156;0;26471;conventional;Boise
28;14/06/2015;0.99;8760771;5879125;1788043;313599;780004;780004;0;0;conventional;Boise
29;07/06/2015;1.12;8075129;6124549;723755;665569;561256;560380;876;0;conventional;Boise
30;31/05/2015;0.97;7668938;5737357;742136;402830;786615;786031;584;0;conventional;Boise
31;24/05/2015;1.03;8320977;5482595;1483933;603723;750726;746951;0;3775;conventional;Boise
32;17/05/2015;0.96;7798753;6131966;739399;291987;635401;634582;0;819;conventional;Boise
33;10/05/2015;1.06;9578853;6250530;1589654;789116;949553;945306;0;4247;conventional;Boise
34;03/05/2015;1;8546699;6688012;794234;428972;635481;634993;0;488;conventional;Boise
35;26/04/2015;0.96;8811117;6954459;798548;340165;717945;717460;0;485;conventional;Boise
36;19/04/2015;0.99;8969496;5684362;2163090;326022;796022;795380;0;642;conventional;Boise
37;12/04/2015;1.19;6624630;4446915;850636;752301;574778;574778;0;0;conventional;Boise
38;05/04/2015;1.09;7670446;5733981;906049;379038;651378;651061;0;317;conventional;Boise
39;29/03/2015;0.98;7454398;5953294;711952;310198;478954;478954;0;0;conventional;Boise
40;22/03/2015;1.17;6141911;4422733;658977;729024;331177;331177;0;0;conventional;Boise
41;15/03/2015;1;6591828;5147229;701829;298180;444590;444590;0;0;conventional;Boise
42;08/03/2015;1.14;6535024;4587984;720622;740375;486043;486043;0;0;conventional;Boise
43;01/03/2015;1.06;7504637;4057800;2373856;349183;723798;647875;75923;0;conventional;Boise
44;22/02/2015;0.99;7683610;5087200;1637474;212209;746727;723520;23207;0;conventional;Boise
45;15/02/2015;1.14;6122198;4154787;784031;649294;534086;364752;169334;0;conventional;Boise
46;08/02/2015;1.07;6997075;5422934;964724;304700;304717;137342;167375;0;conventional;Boise
47;01/02/2015;0.91;11357824;6749630;3653233;290477;664484;486726;177758;0;conventional;Boise
48;25/01/2015;1.03;6606921;5192206;755595;206116;453004;200953;252051;0;conventional;Boise
49;18/01/2015;1.08;6287049;5035495;634237;225723;391594;111918;279676;0;conventional;Boise
50;11/01/2015;1.18;5735552;3811234;1099754;332189;492375;329511;162864;0;conventional;Boise
51;04/01/2015;1.01;8003432;4456212;2496423;275235;775562;606430;169132;0;conventional;Boise
0;27/12/2015;1.13;45081639;388627;34696470;1395256;8601286;8591360;9926;0;conventional;Boston
1;20/12/2015;1.07;48980288;491237;39010099;588772;8890180;8876847;13333;0;conventional;Boston
2;13/12/2015;1.01;54994576;464102;45536238;21940;8972296;8952338;19958;0;conventional;Boston
3;06/12/2015;1.02;48867931;512632;40752022;14299;7588978;7566622;22356;0;conventional;Boston
4;29/11/2015;1.19;35055981;360925;27271908;10586;7412562;7386452;26110;0;conventional;Boston
5;22/11/2015;1.07;46675999;445762;38342046;23374;7864817;7816182;48635;0;conventional;Boston
6;15/11/2015;1.05;51373898;531032;42093680;13971;8735215;8560419;174796;0;conventional;Boston
7;08/11/2015;1.04;64175957;530409;54288092;23174;9334282;8826525;507757;0;conventional;Boston
8;01/11/2015;1.06;55309684;488614;44953249;17029;9850792;9344308;506484;0;conventional;Boston
9;25/10/2015;1.02;53424947;400539;43072578;19131;9932699;9458194;474505;0;conventional;Boston
10;18/10/2015;0.94;72529629;640986;62750398;33287;9104958;8604625;500333;0;conventional;Boston
11;11/10/2015;1.14;48570668;514586;37829590;35503;10190989;9751323;439666;0;conventional;Boston
12;04/10/2015;1.07;53647942;580431;42735864;27756;10303891;9720743;583148;0;conventional;Boston
13;27/09/2015;1.07;55330704;521084;46307981;28949;8472690;8212356;260334;0;conventional;Boston
14;20/09/2015;1.15;49864023;437674;39867348;41846;9517155;9161266;355889;0;conventional;Boston
15;13/09/2015;1.03;65568295;542229;56079223;35377;8911466;8484355;427111;0;conventional;Boston
16;06/09/2015;1.11;57777474;423744;47786783;49662;9517285;9455841;61444;0;conventional;Boston
17;30/08/2015;1.13;52666487;417703;43850290;55404;8343090;8324201;18889;0;conventional;Boston
18;23/08/2015;1.07;58947132;474411;48829210;60861;9582650;9558538;24112;0;conventional;Boston
19;16/08/2015;1.15;56579506;446085;46447633;74865;9610923;9588701;22222;0;conventional;Boston
20;09/08/2015;1.07;69051719;417323;59099811;82706;9451879;9428769;23110;0;conventional;Boston
21;02/08/2015;1.17;57199450;444220;46859176;145195;9750859;9721415;29444;0;conventional;Boston
22;26/07/2015;1.28;50023369;429927;39328162;195786;10069494;10046686;22808;0;conventional;Boston
23;19/07/2015;1.18;59716812;472008;47762980;507177;10974647;10951900;22747;0;conventional;Boston
24;12/07/2015;1.14;63451574;533207;47163953;936155;14818259;14694654;123605;0;conventional;Boston
25;05/07/2015;1.27;58290973;474346;41825103;1105382;14886142;14598299;287843;0;conventional;Boston
26;28/06/2015;1.25;56049492;468828;40323060;912030;14345574;14257463;88111;0;conventional;Boston
27;21/06/2015;1.24;54350466;358245;40490853;889920;12611448;12582115;29333;0;conventional;Boston
28;14/06/2015;1.08;68434648;510419;52125477;654542;15144210;15125877;18333;0;conventional;Boston
29;07/06/2015;1.25;56254286;403411;42100742;9305;13740828;13722494;18334;0;conventional;Boston
30;31/05/2015;1.26;56516095;412835;41810536;10860;14281864;14251532;30332;0;conventional;Boston
31;24/05/2015;1.14;63352198;460166;49048576;27682;13815774;13776931;38843;0;conventional;Boston
32;17/05/2015;1.26;53448854;428568;38051408;16266;14952612;14766772;185840;0;conventional;Boston
33;10/05/2015;1.14;62555814;460150;47682752;13147;14399765;14130943;268822;0;conventional;Boston
34;03/05/2015;1.17;55236894;382864;42958628;23976;11871426;11514887;356539;0;conventional;Boston
35;26/04/2015;1.28;46591137;391530;35246449;13146;10940012;10686642;253370;0;conventional;Boston
36;19/04/2015;1.15;50461983;401371;38488049;16291;11556272;11456217;100055;0;conventional;Boston
37;12/04/2015;1.26;40848516;357589;29416423;10609;11063895;10864433;199462;0;conventional;Boston
38;05/04/2015;1.27;44981801;365754;33042474;9992;11563581;11354134;194864;14583;conventional;Boston
39;29/03/2015;1.19;45363125;361931;33929930;15136;11056128;10883811;172317;0;conventional;Boston
40;22/03/2015;1.18;45317322;595618;34439692;15594;10266418;10220417;46001;0;conventional;Boston
41;15/03/2015;1.25;41775036;608575;30899670;11159;10255632;10193187;62445;0;conventional;Boston
42;08/03/2015;1.17;40840396;342553;29051265;7896;11438682;11381126;57556;0;conventional;Boston
43;01/03/2015;1.11;48573610;410642;38357377;19298;9786293;9742317;43976;0;conventional;Boston
44;22/02/2015;1.23;35543228;323268;25134130;14233;10071597;10049819;21778;0;conventional;Boston
45;15/02/2015;1.2;39988399;379497;28110645;14341;11483916;11428361;55555;0;conventional;Boston
46;08/02/2015;1.04;60998534;765319;49573170;38373;10621672;10540338;81334;0;conventional;Boston
47;01/02/2015;1.22;49002214;608288;37345206;27281;11021439;10990093;31346;0;conventional;Boston
48;25/01/2015;1.17;40934356;473077;28809465;4598;11647216;11553805;93411;0;conventional;Boston
49;18/01/2015;1.23;40133133;438376;28777852;13253;10903652;10866874;36778;0;conventional;Boston
50;11/01/2015;1.1;43777189;554811;32057736;12181;11152461;11119288;33173;0;conventional;Boston
51;04/01/2015;1.02;49173800;719387;39675218;12882;8766313;8740684;25629;0;conventional;Boston
0;27/12/2015;1.35;9623308;136781;3954283;8576;5523668;5523668;0;0;conventional;BuffaloRochester
1;20/12/2015;1.37;9086751;116492;3843071;10667;5116521;5116521;0;0;conventional;BuffaloRochester
2;13/12/2015;1.35;9847323;142112;4078322;6645;5620244;5620244;0;0;conventional;BuffaloRochester
3;06/12/2015;1.23;10845782;173771;5819734;16712;4835565;4835565;0;0;conventional;BuffaloRochester
4;29/11/2015;1.39;7997314;151469;3568271;11349;4266225;4266225;0;0;conventional;BuffaloRochester
5;22/11/2015;1.4;9024231;171177;3878066;10753;4964235;4964235;0;0;conventional;BuffaloRochester
6;15/11/2015;1.36;9970372;180378;4145712;10748;5633534;5559312;74222;0;conventional;BuffaloRochester
7;08/11/2015;1.3;11103895;128883;4950725;5500;6018787;5888565;130222;0;conventional;BuffaloRochester
8;01/11/2015;1.23;11854111;218117;6187492;18640;5429862;5295640;134222;0;conventional;BuffaloRochester
9;25/10/2015;1.36;9955455;154557;3664591;7964;6128343;5938121;190222;0;conventional;BuffaloRochester
10;18/10/2015;1.29;10608375;153635;4070165;5828;6378747;6262747;116000;0;conventional;BuffaloRochester
11;11/10/2015;1.3;10915384;217049;5086200;9618;5602517;5482961;119556;0;conventional;BuffaloRochester
12;04/10/2015;1.33;9890048;302003;3835335;10143;5742567;5614123;128444;0;conventional;BuffaloRochester
13;27/09/2015;1.31;9074572;190816;6029279;10647;2843830;2776719;67111;0;conventional;BuffaloRochester
14;20/09/2015;1.54;6062447;144525;3983166;8861;1925895;1843784;82111;0;conventional;BuffaloRochester
15;13/09/2015;1.59;7304320;157271;4846873;13433;2286743;2242187;44556;0;conventional;BuffaloRochester
16;06/09/2015;1.56;7613958;147169;4938848;17332;2510609;2509276;1333;0;conventional;BuffaloRochester
